notification_offset,tv_show_name,user_id,diffusion,folder_id,archived,notification_type,tv_show_id,created_at,updated_at,active
1440,Bleach,75184478,original,,0,2,74796,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Dragon Ball,75184478,original,,0,2,76666,2023-12-22 07:10:20,2023-12-22 07:10:20,1
1440,Pokémon,75184478,original,,0,2,76703,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Naruto,75184478,original,,0,2,78857,2023-12-22 06:51:28,2023-12-22 06:51:28,1
1440,Death Note,75184478,original,,0,2,79481,2023-12-25 11:08:48,2023-12-25 11:08:48,1
1440,Code Geass: Lelouch of the Rebellion,75184478,original,,0,2,79525,2023-12-25 11:07:51,2023-12-25 11:07:51,1
1440,Naruto Shippuden,75184478,original,,0,2,79824,2023-12-22 06:51:29,2023-12-22 06:51:29,1
1440,Dragon Ball Z,75184478,original,,0,2,81472,2023-12-27 11:22:08,2023-12-27 11:22:08,1
1440,One Piece,75184478,original,,0,2,81797,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Dinosaur King,75184478,original,,0,2,85329,2023-12-22 07:42:34,2023-12-22 07:42:34,1
1440,Fairy Tail,75184478,original,,0,2,114801,2024-01-22 08:06:05,2024-01-22 08:06:05,1
1440,Game of Thrones,75184478,original,,1,2,121361,2023-12-22 06:55:41,2024-01-17 07:18:29,1
1440,Steins;Gate,75184478,original,,0,2,244061,2023-12-22 10:39:19,2023-12-22 10:39:19,1
1440,The Future Diary,75184478,original,,0,2,249827,2024-01-09 15:03:24,2024-01-09 15:03:24,1
1440,Hunter x Hunter (2011),75184478,original,,0,2,252322,2023-12-22 07:11:09,2023-12-22 07:11:09,1
1440,Black Mirror,75184478,original,,0,2,253463,2023-12-26 09:27:59,2023-12-26 09:27:59,1
1440,High School D×D,75184478,original,,0,2,254653,2023-12-22 07:30:17,2023-12-22 07:30:17,1
1440,Sword Art Online,75184478,original,,0,2,259640,2023-12-25 11:08:04,2023-12-25 11:08:04,1
1440,"Love, Chunibyo & Other Delusions!",75184478,original,,0,2,261862,2023-12-25 11:11:10,2023-12-25 11:11:10,1
1440,Date A Live,75184478,original,,0,2,264663,2023-12-25 11:09:06,2023-12-25 11:09:06,1
1440,Attack on Titan,75184478,original,,0,2,267440,2023-12-24 14:54:41,2023-12-24 14:54:41,1
1440,Noragami,75184478,original,,0,2,275610,2023-12-22 07:04:17,2023-12-22 07:04:17,1
1440,No Game No Life,75184478,original,,0,2,278155,2023-12-22 07:17:22,2023-12-22 07:17:22,1
1440,Haikyu!!,75184478,original,,0,2,278157,2023-12-22 07:07:47,2023-12-22 07:07:47,1
1440,Your Lie in April,75184478,original,,0,2,279830,2023-12-22 07:08:45,2023-12-22 07:08:45,1
1440,Parasyte -the maxim-,75184478,original,,0,2,279831,2023-12-22 07:05:13,2023-12-22 07:05:13,1
1440,Akame ga Kill!,75184478,original,,0,2,280329,2023-12-22 07:05:34,2023-12-22 07:05:34,1
1440,Tokyo Ghoul,75184478,original,,0,2,281249,2023-12-25 11:09:50,2023-12-25 11:09:50,1
1440,Saath Nibhaana Saathiya,75184478,original,,0,2,282866,2023-12-22 12:55:29,2023-12-26 00:12:46,0
1440,The Seven Deadly Sins,75184478,original,,0,2,284131,2023-12-25 11:03:39,2023-12-25 11:03:39,1
1440,,75184478,original,,0,2,284700,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,One-Punch Man,75184478,original,,0,2,293088,2023-12-22 07:26:42,2023-12-22 07:26:42,1
1440,Overlord,75184478,original,,0,2,294002,2023-12-22 07:49:14,2023-12-22 07:49:14,1
1440,Dragon Ball Super,75184478,original,,0,2,295068,2023-12-27 11:22:19,2023-12-27 11:22:19,1
1440,Lucifer,75184478,original,,0,2,295685,2023-12-22 06:58:44,2023-12-22 06:58:44,1
1440,KonoSuba – God’s blessing on this wonderful world!!,75184478,original,,0,2,303867,2023-12-22 07:48:39,2023-12-22 07:48:39,1
1440,My Hero Academia,75184478,original,,0,2,305074,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,"Re: ZERO, Starting Life in Another World",75184478,original,,0,2,305089,2023-12-22 07:49:58,2023-12-22 07:49:58,1
1440,Stranger Things,75184478,original,,0,2,305288,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Boruto: Naruto Next Generations,75184478,original,,0,2,321285,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,13 Reasons Why,75184478,original,,0,2,323168,2023-12-26 09:28:12,2023-12-26 09:28:12,1
1440,Idaten Jump,75184478,original,,0,2,326634,2023-12-22 07:41:17,2023-12-22 07:41:17,1
1440,Classroom of the Elite,75184478,original,,0,2,329822,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,75184478,original,,0,2,330092,2023-12-22 06:39:23,2023-12-26 00:12:52,0
1440,Violet Evergarden,75184478,original,,0,2,330139,2023-12-22 07:12:33,2023-12-22 07:12:33,1
1440,Black Clover,75184478,original,,0,2,331753,2023-12-22 07:11:34,2023-12-22 07:11:34,1
1440,One Pace,75184478,original,,0,2,335179,2023-12-22 06:39:23,2023-12-26 00:12:43,0
1440,Beyblade Burst,75184478,original,,0,2,339076,2023-12-22 12:05:17,2023-12-22 12:05:17,1
1440,Flames,75184478,original,,0,2,342635,2023-12-22 07:32:17,2023-12-22 07:32:17,1
1440,Demon Slayer: Kimetsu no Yaiba,75184478,original,,0,2,348545,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,The Rising of the Shield Hero,75184478,original,,0,2,353712,2023-12-22 07:17:57,2023-12-22 07:17:57,1
1440,The Seven Deadly Sins (Nanatsu no Taizai),75184478,original,,0,2,354017,2023-12-22 06:39:23,2023-12-26 00:12:40,0
1440,Dororo (2019),75184478,original,,0,2,354167,2023-12-22 07:13:06,2023-12-22 07:13:06,1
1440,Kaguya-sama: Love Is War,75184478,original,,0,2,354198,2023-12-22 12:35:19,2023-12-22 12:35:19,1
1440,Mirzapur,75184478,original,,0,2,354808,2023-12-22 07:29:36,2023-12-22 07:29:36,1
1440,Dr. STONE,75184478,original,,0,2,355774,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Vinland Saga,75184478,original,,0,2,359274,2023-12-22 07:06:05,2023-12-22 07:06:05,1
1440,Despicable Me,75184478,original,,0,2,360486,2023-12-22 06:39:23,2023-12-26 00:12:49,0
1440,Sword Art Online: Alicization,75184478,original,,0,2,360534,2023-12-22 06:39:23,2023-12-26 00:13:12,0
1440,Ghosts (2019),75184478,original,,0,2,361701,2023-12-29 10:30:32,2023-12-29 10:30:32,1
1440,The Witcher,75184478,original,,0,2,362696,2023-12-26 09:28:05,2023-12-26 09:28:05,1
1440,What If…?,75184478,original,,0,2,367147,2023-12-22 10:38:05,2023-12-22 10:38:05,1
1440,Mushoku Tensei: Jobless Reincarnation,75184478,original,,0,2,371310,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Alice in Borderland (2020),75184478,original,,0,2,376472,2023-12-22 07:19:52,2023-12-22 07:19:52,1
1440,Tower of God,75184478,original,,0,2,376729,2023-12-22 07:06:44,2023-12-22 07:06:44,1
1440,The Daily Life of the Immortal King,75184478,original,,0,2,376751,2023-12-22 07:52:10,2023-12-22 07:52:10,1
1440,JUJUTSU KAISEN,75184478,original,,0,2,377543,2023-12-22 06:39:23,2023-12-22 06:39:23,1
1440,Asur,75184478,original,,0,2,378231,2023-12-25 11:11:21,2023-12-25 11:11:21,1
1440,Rent-a-Girlfriend,75184478,original,,0,2,380654,2023-12-22 07:16:54,2023-12-22 07:16:54,1
1440,All of Us Are Dead,75184478,original,,0,2,382142,2023-12-22 07:21:00,2023-12-22 07:21:00,1
1440,Horimiya,75184478,original,,0,2,388593,2023-12-25 11:10:58,2023-12-25 11:10:58,1
1440,Solo Leveling,75184478,original,,0,2,389597,2024-01-07 04:16:57,2024-01-07 04:16:57,1
1440,ONE PIECE (2023),75184478,original,,0,2,392276,2023-12-22 07:13:39,2023-12-22 07:13:39,1
