vote_key,episode_id,series_name,season_number,episode_number,user_id
127399-75184478-3,127399,Berserk,1,4,75184478
295294-75184478-3,295294,Doctor Who (2005),1,1,75184478
302430-75184478-3,302430,Doctor Who (2005),2,2,75184478
438264-75184478-3,438264,Bleach,11,5,75184478
1968651-75184478-3,1968651,Bleach,14,7,75184478
2410691-75184478-3,2410691,Bleach,14,15,75184478
5008272-75184478-3,5008272,Trinity Seven,1,2,75184478
5156002-75184478-3,5156002,Is It Wrong to Try to Pick Up Girls in a Dungeon?,1,1,75184478
5180498-75184478-3,5180498,Is It Wrong to Try to Pick Up Girls in a Dungeon?,1,2,75184478
5266765-75184478-28,5266765,Pokémon,16,83,75184478
6347551-75184478-3,6347551,Dark,1,2,75184478
6347553-75184478-3,6347553,Dark,1,4,75184478
6347554-75184478-3,6347554,Dark,1,5,75184478
6347555-75184478-3,6347555,Dark,1,6,75184478
6347556-75184478-3,6347556,Dark,1,7,75184478
6347557-75184478-3,6347557,Dark,1,8,75184478
6347558-75184478-3,6347558,Dark,1,9,75184478
6347559-75184478-3,6347559,Dark,1,10,75184478
6706091-75184478-3,6706091,Lucifer,3,26,75184478
6783481-75184478-3,6783481,Lucifer,4,1,75184478
6809752-75184478-3,6809752,Lucifer,4,2,75184478
6813799-75184478-3,6813799,Lucifer,4,3,75184478
6823132-75184478-3,6823132,Lucifer,4,4,75184478
7154358-75184478-3,7154358,Dark,2,1,75184478
7241874-75184478-3,7241874,Dark,2,2,75184478
7241876-75184478-3,7241876,Dark,2,3,75184478
7241878-75184478-3,7241878,Dark,2,4,75184478
7241879-75184478-3,7241879,Dark,2,5,75184478
7241881-75184478-3,7241881,Dark,2,7,75184478
7341873-75184478-3,7341873,Uzumaki,1,1,75184478
7341875-75184478-3,7341875,Uzumaki,1,3,75184478
7407215-75184478-3,7407215,Arcane,1,1,75184478
7488825-75184478-3,7488825,Stranger Things,4,1,75184478
7605172-75184478-3,7605172,Dark,3,1,75184478
7605175-75184478-3,7605175,Dark,3,4,75184478
7605180-75184478-3,7605180,Dark,3,8,75184478
8483527-75184478-3,8483527,Sunflower,1,3,75184478
8483532-75184478-3,8483532,Sunflower,1,4,75184478
8723886-75184478-3,8723886,Arcane,1,3,75184478
8852957-75184478-3,8852957,Stranger Things,4,9,75184478
9340509-75184478-3,9340509,Bleach,17,1,75184478
9360913-75184478-3,9360913,Bleach,17,7,75184478
9360916-75184478-3,9360916,Bleach,17,10,75184478
9360917-75184478-3,9360917,Bleach,17,11,75184478
9360918-75184478-3,9360918,Bleach,17,12,75184478
9477211-75184478-3,9477211,Bleach,17,13,75184478
9644229-75184478-3,9644229,Attack on Titan,4,30,75184478
9813955-75184478-3,9813955,Bleach,17,14,75184478
9865597-75184478-3,9865597,Bleach,17,18,75184478
9865598-75184478-3,9865598,Bleach,17,19,75184478
9865599-75184478-3,9865599,Bleach,17,20,75184478
9865600-75184478-3,9865600,Bleach,17,21,75184478
9866063-75184478-3,9866063,Bleach,17,26,75184478
10004438-75184478-3,10004438,Tokyo Revengers,3,13,75184478
10049923-75184478-3,10049923,Dark Gathering,1,25,75184478
10106205-75184478-3,10106205,One-Punch Man,3,1,75184478
10313569-75184478-3,10313569,Sunflower,2,1,75184478
10414110-75184478-3,10414110,Solo Leveling,2,1,75184478
10485277-75184478-3,10485277,BLUE LOCK,2,1,75184478
10535663-75184478-3,10535663,Makeine: Too Many Losing Heroines!,1,6,75184478
10535664-75184478-3,10535664,Makeine: Too Many Losing Heroines!,1,7,75184478
10535666-75184478-3,10535666,Makeine: Too Many Losing Heroines!,1,9,75184478
10559626-75184478-3,10559626,BLUE LOCK,2,2,75184478
10559627-75184478-3,10559627,BLUE LOCK,2,3,75184478
10559631-75184478-3,10559631,BLUE LOCK,2,7,75184478
10559636-75184478-3,10559636,BLUE LOCK,2,12,75184478
10559637-75184478-3,10559637,BLUE LOCK,2,13,75184478
10559638-75184478-3,10559638,BLUE LOCK,2,14,75184478
10580467-75184478-3,10580467,Shangri-La Frontier,2,12,75184478
10580469-75184478-3,10580469,Shangri-La Frontier,2,14,75184478
10617348-75184478-3,10617348,Squid Game,2,1,75184478
10625037-75184478-3,10625037,"Re: ZERO, Starting Life in Another World",3,1,75184478
10669103-75184478-3,10669103,"Re: ZERO, Starting Life in Another World",3,5,75184478
10713847-75184478-3,10713847,Sword Art Online Alternative: Gun Gale Online,2,2,75184478
10720624-75184478-3,10720624,One Piece,22,36,75184478
10725046-75184478-3,10725046,Off Campus,1,1,75184478
10730597-75184478-3,10730597,Solo Leveling,2,2,75184478
10733783-75184478-3,10733783,Bleach,17,28,75184478
10754403-75184478-3,10754403,Bleach,17,34,75184478
10843935-75184478-3,10843935,Solo Leveling,2,3,75184478
10843939-75184478-3,10843939,Solo Leveling,2,7,75184478
10846360-75184478-3,10846360,Takopi's Original Sin,1,1,75184478
11377542-75184478-3,11377542,My Hero Academia,8,7,75184478
