tv_show_name,episode_season_number,episode_number,user_id,episode_id,created_at,updated_at
Berserk,1,12,75184478,127407,2026-06-30 20:04:58,2026-06-30 20:04:58
Berserk,1,13,75184478,127408,2026-06-30 20:04:58,2026-06-30 20:04:58
Berserk,1,14,75184478,127409,2026-06-30 20:04:59,2026-06-30 20:04:59
Berserk,1,15,75184478,127410,2026-06-30 20:04:59,2026-06-30 20:04:59
Berserk,1,16,75184478,127411,2026-06-30 20:05:00,2026-06-30 20:05:00
Berserk,1,17,75184478,127412,2026-06-30 20:05:00,2026-06-30 20:05:00
Berserk,1,18,75184478,127413,2026-06-30 20:05:02,2026-06-30 20:05:02
Berserk,1,19,75184478,127414,2026-06-30 20:05:03,2026-06-30 20:05:03
Berserk,1,20,75184478,127415,2026-06-30 20:05:03,2026-06-30 20:05:03
Berserk,1,21,75184478,127416,2026-06-30 20:05:07,2026-06-30 20:05:07
Berserk,1,22,75184478,127417,2026-06-30 20:05:08,2026-06-30 20:05:08
Berserk,1,23,75184478,127418,2026-06-30 20:05:08,2026-06-30 20:05:08
Berserk,1,24,75184478,127419,2026-06-30 20:05:09,2026-06-30 20:05:09
Berserk,1,25,75184478,127420,2026-06-30 20:05:09,2026-06-30 20:05:09
Fullmetal Alchemist: Brotherhood,1,17,75184478,879141,2026-07-02 07:14:32,2026-07-02 07:14:32
Another,1,2,75184478,4237915,2026-06-30 19:16:12,2026-06-30 19:16:12
Another,1,3,75184478,4239046,2026-07-02 02:16:30,2026-07-02 02:16:30
Another,1,4,75184478,4239047,2026-07-02 02:16:31,2026-07-02 02:16:31
Another,1,5,75184478,4241223,2026-07-02 02:16:38,2026-07-02 02:16:38
Another,1,6,75184478,4241224,2026-07-02 02:16:38,2026-07-02 02:16:38
Another,1,7,75184478,4241225,2026-07-02 02:16:38,2026-07-02 02:16:38
Another,1,8,75184478,4241226,2026-07-02 02:16:39,2026-07-02 02:16:39
Another,1,9,75184478,4248682,2026-07-02 02:16:42,2026-07-02 02:16:42
Another,1,10,75184478,4248683,2026-07-02 02:16:42,2026-07-02 02:16:42
Another,1,11,75184478,4248684,2026-07-02 02:16:42,2026-07-02 02:16:42
Another,1,12,75184478,4248685,2026-07-02 02:16:43,2026-07-02 02:16:43
86: Eighty Six,1,12,75184478,8515643,2026-07-02 02:16:43,2026-07-02 02:16:43
86: Eighty Six,1,13,75184478,8722563,2026-07-02 02:16:49,2026-07-02 02:16:49
86: Eighty Six,1,14,75184478,8722564,2026-07-02 06:58:30,2026-07-02 06:58:30
86: Eighty Six,1,15,75184478,8722565,2026-07-02 06:58:31,2026-07-02 06:58:31
86: Eighty Six,1,16,75184478,8722566,2026-07-02 06:58:31,2026-07-02 06:58:31
86: Eighty Six,1,17,75184478,8722567,2026-07-02 06:58:41,2026-07-02 06:58:41
86: Eighty Six,1,18,75184478,8722568,2026-07-02 06:58:41,2026-07-02 06:58:41
86: Eighty Six,1,19,75184478,8722569,2026-07-02 06:58:41,2026-07-02 06:58:41
86: Eighty Six,1,20,75184478,8722570,2026-07-02 06:58:42,2026-07-02 06:58:42
86: Eighty Six,1,21,75184478,8722571,2026-07-02 06:58:42,2026-07-02 06:58:42
86: Eighty Six,1,22,75184478,8722572,2026-07-02 07:14:29,2026-07-02 07:14:29
86: Eighty Six,1,23,75184478,8722573,2026-07-02 07:14:31,2026-07-02 07:14:31
Welcome to Demon School! Iruma-kun,3,11,75184478,9378871,2026-06-30 20:35:48,2026-06-30 20:35:48
Welcome to Demon School! Iruma-kun,3,12,75184478,9378872,2026-06-30 20:35:49,2026-06-30 20:35:49
Welcome to Demon School! Iruma-kun,3,13,75184478,9378873,2026-06-30 20:35:51,2026-06-30 20:35:51
Welcome to Demon School! Iruma-kun,3,14,75184478,9378874,2026-06-30 20:35:51,2026-06-30 20:35:51
Welcome to Demon School! Iruma-kun,3,15,75184478,9378875,2026-06-30 20:35:52,2026-06-30 20:35:52
Welcome to Demon School! Iruma-kun,3,16,75184478,9379708,2026-06-30 20:35:52,2026-06-30 20:35:52
Welcome to Demon School! Iruma-kun,3,17,75184478,9379709,2026-06-30 20:35:53,2026-06-30 20:35:53
Welcome to Demon School! Iruma-kun,3,18,75184478,9379710,2026-06-30 20:35:53,2026-06-30 20:35:53
Welcome to Demon School! Iruma-kun,3,19,75184478,9379711,2026-06-30 20:35:56,2026-06-30 20:35:56
Welcome to Demon School! Iruma-kun,3,20,75184478,9379712,2026-06-30 20:35:57,2026-06-30 20:35:57
Welcome to Demon School! Iruma-kun,3,21,75184478,9379713,2026-07-02 02:16:29,2026-07-02 02:16:29
Welcome to Demon School! Iruma-kun,4,1,75184478,11569767,2026-07-02 02:16:30,2026-07-02 02:16:30
Welcome to Demon School! Iruma-kun,4,2,75184478,11655491,2026-07-02 07:14:31,2026-07-02 07:14:31
