episode_season_number,episode_number,user_id,episode_id,created_at,updated_at,tv_show_name
1,6,75184478,355417,2024-01-09 06:31:25,2024-01-09 06:31:25,Dragon Ball Z
1,7,75184478,355418,2024-01-09 06:44:35,2024-01-09 06:44:35,Dragon Ball Z
1,8,75184478,355419,2024-01-09 06:57:47,2024-01-09 06:57:47,Dragon Ball Z
1,9,75184478,355420,2024-01-13 13:17:53,2024-01-13 13:17:53,Dragon Ball Z
1,10,75184478,355421,2024-01-20 15:43:13,2024-01-20 15:43:13,Dragon Ball Z
1,21,75184478,1445251,2024-01-22 18:36:22,2024-01-22 18:36:22,Fairy Tail
1,17,75184478,1658411,2024-01-22 08:06:05,2024-01-22 08:06:05,Fairy Tail
1,18,75184478,1658431,2024-01-22 08:54:53,2024-01-22 08:54:53,Fairy Tail
1,19,75184478,1658451,2024-01-22 08:54:55,2024-01-22 08:54:55,Fairy Tail
1,20,75184478,1658461,2024-01-22 08:54:58,2024-01-22 08:54:58,Fairy Tail
1,22,75184478,1896671,2024-01-22 18:36:25,2024-01-22 18:36:25,Fairy Tail
5,9,75184478,5194187,2024-01-08 16:56:25,2024-01-08 16:56:25,Game of Thrones
5,10,75184478,5194188,2024-01-08 16:56:30,2024-01-08 16:56:30,Game of Thrones
16,87,75184478,5315921,2024-01-10 14:09:22,2024-01-10 14:09:22,Pokémon
16,88,75184478,5315922,2024-01-10 14:09:25,2024-01-10 14:09:25,Pokémon
16,89,75184478,5356056,2024-01-10 14:09:28,2024-01-10 14:09:28,Pokémon
16,90,75184478,5356057,2024-01-15 11:20:31,2024-01-15 11:20:31,Pokémon
16,91,75184478,5356058,2024-01-16 06:14:09,2024-01-16 06:14:09,Pokémon
16,92,75184478,5356059,2024-01-16 06:14:13,2024-01-16 06:14:13,Pokémon
16,93,75184478,5356060,2024-01-16 06:30:41,2024-01-16 06:30:41,Pokémon
17,7,75184478,5402021,2024-01-19 13:08:02,2024-01-19 13:08:02,Pokémon
6,1,75184478,5469015,2024-01-11 13:28:30,2024-01-11 13:28:30,Game of Thrones
17,8,75184478,5502476,2024-01-19 19:02:32,2024-01-19 19:02:32,Pokémon
17,9,75184478,5502477,2024-01-19 19:02:34,2024-01-19 19:02:34,Pokémon
17,10,75184478,5502478,2024-01-19 19:02:36,2024-01-19 19:02:36,Pokémon
17,11,75184478,5502479,2024-01-19 19:02:39,2024-01-19 19:02:39,Pokémon
17,13,75184478,5502480,2024-01-20 14:05:04,2024-01-20 14:05:04,Pokémon
17,12,75184478,5553054,2024-01-20 04:59:35,2024-01-20 04:59:35,Pokémon
17,14,75184478,5553055,2024-01-20 14:05:07,2024-01-20 14:05:07,Pokémon
17,15,75184478,5553056,2024-01-20 14:05:09,2024-01-20 14:05:09,Pokémon
17,16,75184478,5553057,2024-01-20 14:05:13,2024-01-20 14:05:13,Pokémon
17,17,75184478,5553058,2024-01-20 15:43:10,2024-01-20 15:43:10,Pokémon
17,18,75184478,5553059,2024-01-20 15:43:17,2024-01-20 15:43:17,Pokémon
17,19,75184478,5553060,2024-01-20 15:43:20,2024-01-20 15:43:20,Pokémon
17,20,75184478,5553061,2024-01-20 15:43:23,2024-01-20 15:43:23,Pokémon
17,21,75184478,5553062,2024-01-20 15:43:28,2024-01-20 15:43:28,Pokémon
6,2,75184478,5579002,2024-01-11 13:28:34,2024-01-11 13:28:34,Game of Thrones
6,3,75184478,5579003,2024-01-11 16:53:13,2024-01-11 16:53:13,Game of Thrones
6,4,75184478,5599364,2024-01-11 16:53:26,2024-01-11 16:53:26,Game of Thrones
6,5,75184478,5600132,2024-01-13 07:11:51,2024-01-13 07:11:51,Game of Thrones
6,6,75184478,5615733,2024-01-13 07:11:53,2024-01-13 07:11:53,Game of Thrones
6,7,75184478,5615734,2024-01-13 07:23:39,2024-01-13 07:23:39,Game of Thrones
6,8,75184478,5624259,2024-01-13 08:27:07,2024-01-13 08:27:07,Game of Thrones
6,9,75184478,5624260,2024-01-13 17:02:46,2024-01-13 17:02:46,Game of Thrones
6,10,75184478,5624261,2024-01-13 17:02:54,2024-01-13 17:02:54,Game of Thrones
17,22,75184478,5626184,2024-01-20 15:43:31,2024-01-20 15:43:31,Pokémon
17,23,75184478,5626185,2024-01-20 16:07:02,2024-01-20 16:07:02,Pokémon
17,24,75184478,5626186,2024-01-20 18:55:11,2024-01-20 18:55:11,Pokémon
17,25,75184478,5626187,2024-01-20 18:55:16,2024-01-20 18:55:16,Pokémon
17,26,75184478,5626188,2024-01-20 18:55:21,2024-01-20 18:55:21,Pokémon
17,27,75184478,5626189,2024-01-20 18:55:24,2024-01-20 18:55:24,Pokémon
17,28,75184478,5626190,2024-01-20 18:55:26,2024-01-20 18:55:26,Pokémon
17,29,75184478,5626191,2024-01-20 18:55:28,2024-01-20 18:55:28,Pokémon
17,30,75184478,5692863,2024-01-20 18:55:30,2024-01-20 18:55:30,Pokémon
17,31,75184478,5692864,2024-01-20 18:55:33,2024-01-20 18:55:33,Pokémon
17,32,75184478,5692866,2024-01-21 09:31:55,2024-01-21 09:31:55,Pokémon
17,33,75184478,5692867,2024-01-21 09:31:57,2024-01-21 09:31:57,Pokémon
17,34,75184478,5692868,2024-01-21 09:32:00,2024-01-21 09:32:00,Pokémon
17,35,75184478,5692869,2024-01-21 09:32:02,2024-01-21 09:32:02,Pokémon
17,36,75184478,5692870,2024-01-21 09:32:06,2024-01-21 09:32:06,Pokémon
17,37,75184478,5692871,2024-01-21 09:32:08,2024-01-21 09:32:08,Pokémon
17,38,75184478,5692872,2024-01-21 09:32:12,2024-01-21 09:32:12,Pokémon
17,39,75184478,5692873,2024-01-22 18:36:29,2024-01-22 18:36:29,Pokémon
7,2,75184478,6132445,2024-01-14 14:32:53,2024-01-14 14:32:53,Game of Thrones
7,3,75184478,6132453,2024-01-14 14:32:58,2024-01-14 14:32:58,Game of Thrones
7,5,75184478,6132455,2024-01-15 06:13:01,2024-01-15 06:13:01,Game of Thrones
7,6,75184478,6132456,2024-01-15 06:13:17,2024-01-15 06:13:17,Game of Thrones
7,1,75184478,6185708,2024-01-14 08:27:10,2024-01-14 08:27:10,Game of Thrones
7,4,75184478,6235145,2024-01-15 06:12:57,2024-01-15 06:12:57,Game of Thrones
7,7,75184478,6275142,2024-01-15 06:14:20,2024-01-15 06:14:20,Game of Thrones
0,55,75184478,7107505,2024-01-17 07:18:16,2024-01-17 07:18:16,Game of Thrones
8,1,75184478,7117386,2024-01-15 11:50:39,2024-01-15 11:50:39,Game of Thrones
8,2,75184478,7121401,2024-01-15 16:04:03,2024-01-15 16:04:03,Game of Thrones
8,3,75184478,7121402,2024-01-15 16:04:10,2024-01-15 16:04:10,Game of Thrones
8,4,75184478,7121403,2024-01-16 06:14:39,2024-01-16 06:14:39,Game of Thrones
8,5,75184478,7121404,2024-01-16 18:29:10,2024-01-16 18:29:10,Game of Thrones
8,6,75184478,7121405,2024-01-17 07:17:23,2024-01-17 07:17:23,Game of Thrones
1,15,75184478,10119398,2024-01-22 08:06:24,2024-01-22 08:06:24,Shangri-La Frontier
3,2,75184478,10160752,2024-01-11 16:42:07,2024-01-11 16:42:07,Classroom of the Elite
3,3,75184478,10160753,2024-01-21 05:16:36,2024-01-21 05:16:36,Classroom of the Elite
1,2,75184478,10190441,2024-01-14 05:25:02,2024-01-14 05:25:02,Solo Leveling
1,3,75184478,10190442,2024-01-21 05:16:34,2024-01-21 05:16:34,Solo Leveling
22,5,75184478,10233172,2024-01-14 08:27:07,2024-01-14 08:27:07,One Piece
22,6,75184478,10248628,2024-01-21 11:42:48,2024-01-21 11:42:48,One Piece
