show_character_id,fb_action_id,tv_show_name,episode_number,user_id,episode_id,created_at,updated_at,episode_season_number
63744916,,Lost,19,75184478,127149,2026-01-11 10:24:51,2026-01-11 10:24:51,1
64104189,,Berserk,4,75184478,127399,2024-11-05 11:28:15,2024-11-05 11:28:15,1
64104189,,Berserk,5,75184478,127400,2024-11-09 15:03:39,2024-11-09 15:03:39,1
64104189,,Berserk,11,75184478,127406,2026-03-04 10:32:22,2026-03-04 10:32:22,1
64104189,,Berserk,25,75184478,127420,2026-06-27 09:40:29,2026-06-27 09:40:29,1
64480396,,Doctor Who (2005),1,75184478,295294,2025-01-04 03:23:40,2025-01-04 03:23:41,1
63744925,,Lost,7,75184478,312423,2026-02-18 18:07:08,2026-02-18 18:07:08,3
63744950,,Lost,8,75184478,312424,2026-02-18 18:07:17,2026-02-18 18:07:17,3
63744925,,Lost,9,75184478,312425,2026-02-18 18:07:24,2026-02-18 18:07:24,3
63744881,,Lost,19,75184478,327130,2026-03-04 10:26:06,2026-03-04 10:26:19,3
65308903,,Fighting Spirit,10,75184478,330731,2026-04-25 09:29:04,2026-04-25 09:29:04,1
65308903,,Fighting Spirit,24,75184478,330745,2026-05-05 19:38:51,2026-05-05 19:38:51,1
65308903,,Fighting Spirit,25,75184478,330746,2026-05-05 19:38:56,2026-05-05 19:38:56,1
65308903,,Fighting Spirit,26,75184478,330747,2026-05-05 19:39:00,2026-05-05 19:39:00,1
65308903,,Fighting Spirit,27,75184478,330748,2026-05-05 19:39:05,2026-05-05 19:39:05,1
65308903,,Fighting Spirit,28,75184478,330749,2026-05-05 19:39:09,2026-05-05 19:39:09,1
65308924,,Fighting Spirit,51,75184478,330772,2026-05-28 14:37:30,2026-05-28 14:37:35,1
65308903,,Fighting Spirit,54,75184478,330775,2026-06-02 11:29:21,2026-06-02 11:29:21,1
65308903,,Fighting Spirit,56,75184478,330777,2026-06-02 11:29:33,2026-06-02 11:29:33,1
65308903,,Fighting Spirit,57,75184478,330778,2026-06-02 11:29:44,2026-06-02 11:29:46,1
65363156,,Dragon Ball Z,22,75184478,355433,2024-03-18 17:04:36,2024-03-18 17:04:36,1
65363097,,Dragon Ball Z,9,75184478,356287,2024-04-02 22:24:58,2024-04-02 22:25:00,2
64562494,,Bleach,5,75184478,438264,2024-10-19 16:31:01,2024-10-19 16:31:01,11
63348986,,Baki the Grappler,4,75184478,454221,2026-01-05 12:45:36,2026-01-05 12:45:36,1
63348986,,Baki the Grappler,5,75184478,454231,2026-01-05 12:45:48,2026-01-05 12:45:48,1
63348986,,Baki the Grappler,9,75184478,454271,2026-01-15 10:56:36,2026-01-15 10:56:38,1
63696686,,Fullmetal Alchemist: Brotherhood,5,75184478,560601,2026-06-15 04:19:30,2026-06-15 04:19:33,1
63696695,,Fullmetal Alchemist: Brotherhood,6,75184478,604341,2026-06-15 04:19:36,2026-06-15 04:19:37,1
64562644,,Bleach,7,75184478,1968651,2024-10-29 12:39:58,2024-10-29 12:39:58,14
64562601,,Bleach,15,75184478,2410691,2024-10-30 09:56:51,2024-10-30 09:56:53,14
63612196,,High School of the Dead,11,75184478,2434521,2025-05-10 09:21:07,2025-05-10 09:21:09,1
63612198,,High School of the Dead,12,75184478,2434531,2025-05-10 09:21:16,2025-05-10 09:21:16,1
64554506,,Freezing,11,75184478,3442751,2026-01-21 16:33:23,2026-01-21 16:33:24,1
64554527,,Freezing,12,75184478,3442761,2026-01-21 16:33:33,2026-01-21 16:33:33,1
63853254,,Another,12,75184478,4248685,2026-06-30 12:21:59,2026-06-30 12:21:59,1
64562528,,Bleach,18,75184478,4258083,2024-11-05 06:52:58,2024-11-05 06:53:00,16
65079394,,Kuroko's Basketball,17,75184478,4354711,2025-06-15 09:08:57,2025-06-15 09:08:57,1
65079394,,Kuroko's Basketball,18,75184478,4363132,2025-06-15 09:09:08,2025-06-15 09:09:08,1
65079394,,Kuroko's Basketball,19,75184478,4363133,2025-06-15 09:09:13,2025-06-15 09:09:13,1
65079394,,Kuroko's Basketball,20,75184478,4363134,2025-06-15 09:09:19,2025-06-15 09:09:19,1
65308912,,Fighting Spirit,24,75184478,4684989,2026-06-15 04:19:06,2026-06-15 04:19:06,3
65308912,,Fighting Spirit,25,75184478,4684990,2026-06-15 04:19:19,2026-06-15 04:19:19,3
65060956,,Date A Live,1,75184478,4788063,2025-06-06 11:12:10,2025-06-06 11:12:10,2
65061022,,Date A Live,2,75184478,4853328,2025-06-06 11:12:20,2025-06-06 11:12:20,2
