status,created_at,updated_at,tv_show_name,user_id,tv_show_id
for_later,2026-06-22 18:49:30,2026-06-22 18:49:30,Lost,75184478,73739
for_later,2024-02-20 04:10:02,2024-02-20 04:10:02,Pokémon,75184478,76703
for_later,2025-02-16 06:07:01,2025-02-16 06:07:01,Fairy Tail,75184478,114801
for_later,2024-11-17 04:14:16,2024-11-17 04:14:16,The 100,75184478,268592
for_later,2024-02-20 04:10:10,2024-02-20 04:10:10,Tokyo Ghoul,75184478,281249
for_later,2026-01-17 11:25:26,2026-01-17 11:25:26,One-Punch Man,75184478,293088
for_later,2024-12-13 15:53:17,2024-12-13 15:53:17,Bungo Stray Dogs,75184478,305075
for_later,2024-02-20 04:10:06,2024-02-20 04:10:06,Beyblade Burst,75184478,339076
for_later,2024-02-08 04:16:39,2024-02-08 04:16:39,Mirzapur,75184478,354808
for_later,2024-02-20 04:10:17,2024-02-20 04:10:17,Vinland Saga,75184478,359274
for_later,2024-02-20 04:09:57,2024-02-20 04:09:57,The Witcher,75184478,362696
for_later,2024-12-13 15:53:04,2024-12-13 15:53:04,Arcane,75184478,371028
for_later,2024-02-20 04:10:14,2024-02-20 04:10:14,The Daily Life of the Immortal King,75184478,376751
for_later,2024-03-16 10:14:03,2024-03-16 10:14:03,Bottom-tier Character Tomozaki,75184478,388737
for_later,2024-02-08 04:16:32,2024-02-08 04:16:32,SPY x FAMILY,75184478,405920
for_later,2026-06-10 14:41:39,2026-06-10 14:41:39,Spice and Wolf: MERCHANT MEETS THE WISE WOLF,75184478,417147
for_later,2024-02-08 04:16:36,2024-02-08 04:16:36,MASHLE: MAGIC AND MUSCLES,75184478,421737
for_later,2026-01-17 05:39:53,2026-01-17 05:39:53,Fate/strange Fake,75184478,436779
for_later,2025-08-27 15:02:25,2025-08-27 15:02:25,Half CA,75184478,437541
